,Fault,Diagnostic,Corrective Action,PLC,Model
1295,permission_missing,a permission used in a section definition do not exist in the subscriber system.,use import/export to move the permission from the provider to the subscriber.,ABB,800XA
1296,protocol_not_found,one of the protocols used to communicate between the remote access server and remote access client can not be found.,re-install the 800xa to correct the problem.,ABB,800XA
1297,protocol_version,the version of one of the protocols used by the remote access server and remote access client to communicate do not match.,install the same version of 800xa multisystem integration on both provider and subscriber to correct this problem.,ABB,800XA
1298,port_in_use,the port selected for the remote access server or client is already in use by another application.,remove the other application or selecting another port to use.,ABB,800XA
1299,rac_unit_not_open,internal error. no remote access client unit to send data to.,try to restart the remote access client service.,ABB,800XA
1300,regsave_failed,failed to save the connect account or password information to the registry.,check that you are local administrator on the current node.,ABB,800XA
1301,sg_not_connected,no service group associated with the remote system connection object.,this can be possibly be corrected through the consistency checker/auto correction function.,ABB,800XA
1302,update_running,a new update operation can not be started as one is already being performed by the remote access client.,abort can be used to terminate the running upload.,ABB,800XA
1303,unknown_user,the remote user account is not recognized by the remote access server.,"if common windows domain is 
used, check that the user is present in the provider system.",ABB,800XA
1304,unknown_user,the remote user account is not recognized by the remote access server.,"if user mapping is used, check the user mapping table on the remote access server, service group.",ABB,800XA
1305,upload_running,an upload is already running.,wait until it terminates before a new upload is started.,ABB,800XA
1306,user_mapping_missing,a user in a section definition in the provider do not have any mapping to a user in the subscriber.,add a user mapping for all users in all section definitions to succeed with the upload.,ABB,800XA
1307,channel 1-16 disabled,calibration (0eh) problem report (from fc 216),"remove imasi23 and reinsert. if error recurs, replace the imasi23.",ABB,Symphony
1308,cold junction disabled,calibration (0eh) problem report (from fc 215),"remove imasi23 and reinsert. if error recurs, replace the imasi23.",ABB,Symphony
1309,channel 1-16 not calibrated,calibration (0eh) problem report (from fc 216),"remove imasi23 and reinsert. if error recurs, replace the imasi23.",ABB,Symphony
1310,cold junction not calibrated,calibration (0eh) problem report (from fc 215),"remove imasi23 and reinsert. if error recurs, replace the imasi23.",ABB,Symphony
1311,channel not configured,configuration mismatch problem report (from fc 216),verify that specs s3 through s9 of the indicated fc 216 are correct.,ABB,Symphony
1312,channel 1-16 out of range error,channel failure/out of range (03h) problem report (from fc 216),"possible open input or signal is out of range. verify field wiring, connections, sensor and module seating.",ABB,Symphony
1313,cold junction out of range error,channel failure/out of range (03h) problem report (from fc 215),"possible open input or signal is out of range. verify field wiring, connections, sensor and module seating.",ABB,Symphony
1314,external cold junction reference error,channel failure/out of range (03h) problem report (from fc 216),verify quality of block defined for spec s3.,ABB,Symphony
1315,channel 1-16 a/d conversion error,channel failure/out of range (03h) problem report (from fc 216),"remove imasi23 and reinsert. if error recurs, replace the imasi23.",ABB,Symphony
1316,cold junction a/d con_x0002_version error,channel failure/out of range (03h) problem report (from fc 215),"remove imasi23 and reinsert. if error recurs, replace the imasi23.",ABB,Symphony
1317,unconfigured reference error,calibration (02h) problem report (from fc 215),unconfigured channel reference error (unused channel not functioning properly). the i/o module and all configured channels will continue to function properly.,ABB,Symphony
1318,cold junction reference error,"calibration error (02h) 
problem report (from fc 215)",cold junction reference is not zero and has bad quality.,ABB,Symphony
1319,channel 1-16 reference error,calibration error (02h) problem report (from fc 216),"remove imasi23 and reinsert. if error recurs, replace the imasi23.",ABB,Symphony
